Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas,2024,2,1,     0.8,     0.6,     0.6,     0.8,-,-,-,-,-
Tuas,2024,2,2,    16.8,    10.2,    14.6,    16.2,-,-,-,-,-
Tuas,2024,2,3,    13.4,     8.0,    11.6,    13.4,-,-,-,-,-
Tuas,2024,2,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,7,     4.2,     3.6,     4.0,     4.2,-,-,-,-,-
Tuas,2024,2,8,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Tuas,2024,2,9,     6.4,     2.8,     5.4,     6.0,-,-,-,-,-
Tuas,2024,2,10,    11.6,    10.4,    11.6,    11.6,-,-,-,-,-
Tuas,2024,2,11,     0.2,     0.2,     0.8,    11.6,-,-,-,-,-
Tuas,2024,2,12,     2.4,     1.8,     1.8,     2.0,-,-,-,-,-
Tuas,2024,2,13,     6.8,     2.4,     4.6,     5.2,-,-,-,-,-
Tuas,2024,2,14,    13.6,     4.2,     4.2,     7.8,-,-,-,-,-
Tuas,2024,2,15,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Tuas,2024,2,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,18,     9.2,     8.4,     9.0,     9.2,-,-,-,-,-
Tuas,2024,2,19,     1.2,     0.6,     1.0,     1.2,-,-,-,-,-
Tuas,2024,2,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,21,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Tuas,2024,2,22,     4.8,     4.8,     4.8,     4.8,-,-,-,-,-
Tuas,2024,2,23,     2.0,     1.2,     1.2,     2.0,-,-,-,-,-
Tuas,2024,2,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,27,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Tuas,2024,2,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Tuas,2024,2,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
