Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Upper Peirce Reservoir,2024,12,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,2,     7.2,     6.6,     7.2,     7.2,-,-,-,-,-
Upper Peirce Reservoir,2024,12,3,    39.0,    21.8,    30.4,    35.4,-,-,-,-,-
Upper Peirce Reservoir,2024,12,4,     0.0,     0.0,     0.2,     0.4,-,-,-,-,-
Upper Peirce Reservoir,2024,12,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,8,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Upper Peirce Reservoir,2024,12,9,     1.6,     0.4,     0.8,     1.2,-,-,-,-,-
Upper Peirce Reservoir,2024,12,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,11,-,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,12,-,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,13,-,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,14,-,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,15,-,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,16,-,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,17,     0.2,-,-,-,-,-,-,-,-
Upper Peirce Reservoir,2024,12,18,     1.6,     1.0,     1.0,     1.2,-,-,-,-,-
Upper Peirce Reservoir,2024,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,20,     3.2,     1.8,     1.8,     1.8,-,-,-,-,-
Upper Peirce Reservoir,2024,12,21,     1.0,     0.8,     1.0,     1.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,22,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Upper Peirce Reservoir,2024,12,23,    35.4,     8.0,    11.6,    19.8,-,-,-,-,-
Upper Peirce Reservoir,2024,12,24,    18.0,    10.4,    10.8,    10.8,-,-,-,-,-
Upper Peirce Reservoir,2024,12,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,26,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Upper Peirce Reservoir,2024,12,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,29,    68.6,    52.4,    61.6,    63.0,-,-,-,-,-
Upper Peirce Reservoir,2024,12,30,    10.8,     4.2,     6.6,     8.6,-,-,-,-,-
Upper Peirce Reservoir,2024,12,31,    35.8,    26.4,    28.2,    30.0,-,-,-,-,-
