Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,2024,9,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,3,    17.2,    13.2,    14.8,    17.2,-,-,-,-,-
Macritchie Reservoir,2024,9,4,    14.2,     4.2,     6.6,    11.2,-,-,-,-,-
Macritchie Reservoir,2024,9,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,7,     8.4,     8.0,     8.0,     8.4,-,-,-,-,-
Macritchie Reservoir,2024,9,8,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Macritchie Reservoir,2024,9,9,     0.6,     0.2,     0.2,     0.4,-,-,-,-,-
Macritchie Reservoir,2024,9,10,    21.8,    17.0,    18.2,    19.8,-,-,-,-,-
Macritchie Reservoir,2024,9,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,12,     1.4,     0.8,     1.0,     1.2,-,-,-,-,-
Macritchie Reservoir,2024,9,13,     0.5,     0.5,     0.5,     0.5,-,-,-,-,-
Macritchie Reservoir,2024,9,14,    48.0,    26.0,    41.0,    44.6,-,-,-,-,-
Macritchie Reservoir,2024,9,15,    15.8,     7.6,    14.0,    15.8,-,-,-,-,-
Macritchie Reservoir,2024,9,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,17,    15.6,    15.2,    15.2,    15.4,-,-,-,-,-
Macritchie Reservoir,2024,9,18,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Macritchie Reservoir,2024,9,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,20,    21.0,    19.6,    21.0,    21.0,-,-,-,-,-
Macritchie Reservoir,2024,9,21,     6.4,     8.2,    22.0,    24.0,-,-,-,-,-
Macritchie Reservoir,2024,9,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,23,     1.4,     1.2,     1.4,     1.4,-,-,-,-,-
Macritchie Reservoir,2024,9,24,     0.8,     0.6,     0.8,     0.8,-,-,-,-,-
Macritchie Reservoir,2024,9,25,    37.4,    26.4,    33.6,    37.2,-,-,-,-,-
Macritchie Reservoir,2024,9,26,     7.0,     2.4,     3.6,     5.2,-,-,-,-,-
Macritchie Reservoir,2024,9,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,9,29,     4.0,     2.0,     2.4,     3.8,-,-,-,-,-
Macritchie Reservoir,2024,9,30,    57.6,    24.0,    38.4,    38.6,-,-,-,-,-
