Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,2024,1,1,     3.6,     1.2,     1.2,     1.6,-,-,-,-,-
Bukit Panjang,2024,1,2,     0.0,     0.0,     0.0,     0.6,-,-,-,-,-
Bukit Panjang,2024,1,3,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Bukit Panjang,2024,1,4,    56.6,    10.4,    12.6,    18.6,-,-,-,-,-
Bukit Panjang,2024,1,5,     3.6,     2.2,     2.8,     2.8,-,-,-,-,-
Bukit Panjang,2024,1,6,     0.8,     0.6,     0.6,     0.6,-,-,-,-,-
Bukit Panjang,2024,1,7,    55.8,    13.4,    25.6,    33.2,-,-,-,-,-
Bukit Panjang,2024,1,8,     8.2,     5.0,     5.4,     8.0,-,-,-,-,-
Bukit Panjang,2024,1,9,     9.2,     2.2,     3.0,     4.0,-,-,-,-,-
Bukit Panjang,2024,1,10,    36.8,    15.0,    18.4,    26.0,-,-,-,-,-
Bukit Panjang,2024,1,11,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Panjang,2024,1,12,     7.0,     2.0,     2.6,     3.8,-,-,-,-,-
Bukit Panjang,2024,1,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,15,     5.8,     5.2,     5.6,     5.6,-,-,-,-,-
Bukit Panjang,2024,1,16,     3.0,     1.4,     2.2,     2.8,-,-,-,-,-
Bukit Panjang,2024,1,17,    12.6,     6.0,     8.8,    10.0,-,-,-,-,-
Bukit Panjang,2024,1,18,     7.6,     3.8,     4.4,     5.2,-,-,-,-,-
Bukit Panjang,2024,1,19,     8.0,     3.8,     4.4,     6.4,-,-,-,-,-
Bukit Panjang,2024,1,20,     8.8,     0.8,     1.4,     2.0,-,-,-,-,-
Bukit Panjang,2024,1,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,23,    27.4,    10.0,    19.4,    24.6,-,-,-,-,-
Bukit Panjang,2024,1,24,   116.2,    43.6,    61.6,    71.4,-,-,-,-,-
Bukit Panjang,2024,1,25,     3.8,     0.8,     1.8,     3.0,-,-,-,-,-
Bukit Panjang,2024,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,1,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
