Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2024,2,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,2,    17.8,     8.8,    11.6,    16.8,-,-,-,-,-
Bukit Timah,2024,2,3,    15.4,    11.4,    11.8,    14.8,-,-,-,-,-
Bukit Timah,2024,2,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,8,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Bukit Timah,2024,2,9,    33.0,    19.8,    30.4,    33.0,-,-,-,-,-
Bukit Timah,2024,2,10,    23.2,    21.6,    22.8,    23.2,-,-,-,-,-
Bukit Timah,2024,2,11,     1.8,     1.2,     1.8,    23.2,-,-,-,-,-
Bukit Timah,2024,2,12,     3.4,     2.4,     2.6,     3.4,-,-,-,-,-
Bukit Timah,2024,2,13,     8.0,     4.8,     5.0,     6.2,-,-,-,-,-
Bukit Timah,2024,2,14,     1.4,     0.6,     0.6,     0.6,-,-,-,-,-
Bukit Timah,2024,2,15,     7.8,     6.2,     6.4,     7.2,-,-,-,-,-
Bukit Timah,2024,2,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,20,    11.6,     9.2,    11.6,    11.6,-,-,-,-,-
Bukit Timah,2024,2,21,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Bukit Timah,2024,2,22,    36.6,    23.2,    32.2,    36.6,-,-,-,-,-
Bukit Timah,2024,2,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,27,     1.0,     0.6,     0.8,     0.8,-,-,-,-,-
Bukit Timah,2024,2,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2024,2,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
