Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Macritchie Reservoir,2024,6,1,     8.0,     3.2,     3.6,     4.0,-,-,-,-,-
Macritchie Reservoir,2024,6,2,     8.0,     4.4,     6.2,     7.2,-,-,-,-,-
Macritchie Reservoir,2024,6,3,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Macritchie Reservoir,2024,6,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,6,    13.8,    11.0,    13.4,    13.8,-,-,-,-,-
Macritchie Reservoir,2024,6,7,    13.6,    13.0,    13.6,    13.6,-,-,-,-,-
Macritchie Reservoir,2024,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,9,     0.8,     0.6,     0.6,     0.6,-,-,-,-,-
Macritchie Reservoir,2024,6,10,-,-,-,-,-,-,-,-,-
Macritchie Reservoir,2024,6,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,12,    40.0,    29.0,    38.6,    39.8,-,-,-,-,-
Macritchie Reservoir,2024,6,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,14,     9.5,     8.5,     9.5,     9.5,-,-,-,-,-
Macritchie Reservoir,2024,6,15,     9.0,     7.5,     8.0,     9.0,-,-,-,-,-
Macritchie Reservoir,2024,6,16,    26.0,    19.5,    23.5,    24.5,-,-,-,-,-
Macritchie Reservoir,2024,6,17,     1.5,     1.0,     1.0,     1.0,-,-,-,-,-
Macritchie Reservoir,2024,6,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,20,     0.5,     0.5,     0.5,     0.5,-,-,-,-,-
Macritchie Reservoir,2024,6,21,    40.0,    12.5,    17.0,    21.5,-,-,-,-,-
Macritchie Reservoir,2024,6,22,    52.4,    16.6,    27.4,    40.6,-,-,-,-,-
Macritchie Reservoir,2024,6,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Macritchie Reservoir,2024,6,25,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Macritchie Reservoir,2024,6,26,     1.8,     1.0,     1.0,     1.6,-,-,-,-,-
Macritchie Reservoir,2024,6,27,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Macritchie Reservoir,2024,6,28,    37.6,    22.2,    29.6,    34.4,-,-,-,-,-
Macritchie Reservoir,2024,6,29,     6.2,     5.6,     6.0,     6.0,-,-,-,-,-
Macritchie Reservoir,2024,6,30,    34.2,    15.2,    20.4,    28.2,-,-,-,-,-
