Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2024,9,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,3,     5.0,     4.8,     5.0,     5.0,-,-,-,-,-
Mandai,2024,9,4,    13.6,     8.2,     9.2,    10.8,-,-,-,-,-
Mandai,2024,9,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,7,     4.6,     4.4,     4.6,     4.6,-,-,-,-,-
Mandai,2024,9,8,    12.6,    11.6,    12.4,    12.6,-,-,-,-,-
Mandai,2024,9,9,     0.6,     0.2,     0.4,     0.4,-,-,-,-,-
Mandai,2024,9,10,    20.8,    10.4,    15.8,    18.4,-,-,-,-,-
Mandai,2024,9,11,     8.2,     6.6,     7.6,     8.0,-,-,-,-,-
Mandai,2024,9,12,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2024,9,13,     1.2,     1.0,     1.0,     1.0,-,-,-,-,-
Mandai,2024,9,14,    35.2,    20.4,    28.8,    30.4,-,-,-,-,-
Mandai,2024,9,15,    12.6,    12.6,    12.6,    12.6,-,-,-,-,-
Mandai,2024,9,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,17,     8.0,     7.8,     8.0,     8.0,-,-,-,-,-
Mandai,2024,9,18,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2024,9,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,20,    11.8,     8.6,    11.8,    11.8,-,-,-,-,-
Mandai,2024,9,21,    10.4,     6.0,    14.2,    18.8,-,-,-,-,-
Mandai,2024,9,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,23,    12.8,     4.6,     7.2,    10.4,-,-,-,-,-
Mandai,2024,9,24,    22.8,    11.0,    20.0,    22.8,-,-,-,-,-
Mandai,2024,9,25,     2.8,     1.8,     2.0,     2.0,-,-,-,-,-
Mandai,2024,9,26,     4.8,     1.4,     2.4,     3.4,-,-,-,-,-
Mandai,2024,9,27,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2024,9,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2024,9,29,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2024,9,30,    25.2,    13.2,    21.2,    24.8,-,-,-,-,-
