Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2024,1,1,    15.2,     4.0,     5.0,     5.8,-,-,-,-,-
Punggol,2024,1,2,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2024,1,3,     4.0,     4.0,     4.0,     4.0,-,-,-,-,-
Punggol,2024,1,4,    64.4,     6.8,    12.2,    19.4,-,-,-,-,-
Punggol,2024,1,5,    15.2,     9.8,    11.8,    12.0,-,-,-,-,-
Punggol,2024,1,6,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2024,1,7,    75.0,    17.4,    26.6,    31.6,-,-,-,-,-
Punggol,2024,1,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,9,     8.6,     3.8,     4.4,     5.4,-,-,-,-,-
Punggol,2024,1,10,    55.0,    17.8,    27.8,    36.4,-,-,-,-,-
Punggol,2024,1,11,     4.2,     3.4,     3.4,     3.4,-,-,-,-,-
Punggol,2024,1,12,    13.4,     3.2,     3.8,     6.0,-,-,-,-,-
Punggol,2024,1,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,16,    15.4,     5.4,     7.8,    13.0,-,-,-,-,-
Punggol,2024,1,17,    15.2,     6.8,     8.2,    11.2,-,-,-,-,-
Punggol,2024,1,18,     4.0,     2.0,     2.2,     2.8,-,-,-,-,-
Punggol,2024,1,19,     9.0,     3.0,     4.0,     5.0,-,-,-,-,-
Punggol,2024,1,20,    18.0,     3.6,     5.6,     7.8,-,-,-,-,-
Punggol,2024,1,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2024,1,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,23,    47.8,    21.4,    39.4,    47.8,-,-,-,-,-
Punggol,2024,1,24,    35.8,    13.0,    19.4,    23.6,-,-,-,-,-
Punggol,2024,1,25,    47.8,    25.2,    35.6,    38.2,-,-,-,-,-
Punggol,2024,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,28,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Punggol,2024,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,1,30,     2.4,     2.0,     2.2,     2.2,-,-,-,-,-
Punggol,2024,1,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
