Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Nicoll Highway,2024,4,1,    25.6,    20.6,    25.6,    25.6,-,-,-,-,-
Nicoll Highway,2024,4,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,4,    19.6,    18.4,    19.4,    19.6,-,-,-,-,-
Nicoll Highway,2024,4,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,8,    11.6,    10.8,    11.6,    11.6,-,-,-,-,-
Nicoll Highway,2024,4,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,10,     5.0,     4.4,     4.6,     4.6,-,-,-,-,-
Nicoll Highway,2024,4,11,     4.6,     1.0,     2.0,     3.2,-,-,-,-,-
Nicoll Highway,2024,4,12,    50.8,    14.6,    23.0,    30.8,-,-,-,-,-
Nicoll Highway,2024,4,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,14,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Nicoll Highway,2024,4,15,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Nicoll Highway,2024,4,16,     2.6,     0.8,     1.2,     1.4,-,-,-,-,-
Nicoll Highway,2024,4,17,     3.0,     3.0,     3.0,     3.0,-,-,-,-,-
Nicoll Highway,2024,4,18,     2.4,     2.0,     2.4,     2.4,-,-,-,-,-
Nicoll Highway,2024,4,19,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Nicoll Highway,2024,4,20,    42.0,    14.4,    24.2,    26.4,-,-,-,-,-
Nicoll Highway,2024,4,21,     4.4,     4.2,     4.4,     4.4,-,-,-,-,-
Nicoll Highway,2024,4,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Nicoll Highway,2024,4,28,     8.4,     8.2,     8.4,     8.4,-,-,-,-,-
Nicoll Highway,2024,4,29,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Nicoll Highway,2024,4,30,     0.0,-,     0.0,     0.0,-,-,-,-,-
