Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kent Ridge,2024,11,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,11,2,     1.0,     0.4,     0.6,     0.8,-,-,-,-,-
Kent Ridge,2024,11,3,     5.0,     3.8,     5.0,     5.0,-,-,-,-,-
Kent Ridge,2024,11,4,     5.4,     3.2,     4.8,     5.0,-,-,-,-,-
Kent Ridge,2024,11,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,11,6,     4.2,     1.8,     2.2,     3.4,-,-,-,-,-
Kent Ridge,2024,11,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,11,8,    24.6,     9.2,    13.8,    15.4,-,-,-,-,-
Kent Ridge,2024,11,9,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Kent Ridge,2024,11,10,    10.6,     7.4,     8.6,     9.2,-,-,-,-,-
Kent Ridge,2024,11,11,     0.2,     0.2,     0.2,     0.4,-,-,-,-,-
Kent Ridge,2024,11,12,     1.0,     0.4,     0.4,     0.6,-,-,-,-,-
Kent Ridge,2024,11,13,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Kent Ridge,2024,11,14,     4.6,     4.2,     4.6,     4.6,-,-,-,-,-
Kent Ridge,2024,11,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,11,16,    59.4,    29.6,    46.4,    57.6,-,-,-,-,-
Kent Ridge,2024,11,17,    37.6,    26.8,    35.8,    37.6,-,-,-,-,-
Kent Ridge,2024,11,18,     9.0,     6.6,     6.8,     8.8,-,-,-,-,-
Kent Ridge,2024,11,19,     8.8,     4.2,     4.2,     4.2,-,-,-,-,-
Kent Ridge,2024,11,20,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,11,21,     6.2,     5.6,     6.0,     6.0,-,-,-,-,-
Kent Ridge,2024,11,22,    32.0,    23.4,    26.4,    28.0,-,-,-,-,-
Kent Ridge,2024,11,23,     0.6,     0.4,     0.6,     1.2,-,-,-,-,-
Kent Ridge,2024,11,24,    25.2,     9.8,    13.8,    24.4,-,-,-,-,-
Kent Ridge,2024,11,25,     7.8,     7.4,     7.6,     7.6,-,-,-,-,-
Kent Ridge,2024,11,26,    11.2,     3.2,     5.0,     5.8,-,-,-,-,-
Kent Ridge,2024,11,27,     6.0,     1.8,     3.0,     3.8,-,-,-,-,-
Kent Ridge,2024,11,28,    23.0,     9.6,    17.6,    19.0,-,-,-,-,-
Kent Ridge,2024,11,29,    58.6,    36.8,    45.2,    47.8,-,-,-,-,-
Kent Ridge,2024,11,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
