Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2024,6,1,-,-,-,-,-,-,-,-,-
Choa Chu Kang (South),2024,6,2,     1.2,     0.4,     0.8,     1.2,-,-,-,-,-
Choa Chu Kang (South),2024,6,3,     2.2,     1.8,     2.2,     2.2,-,-,-,-,-
Choa Chu Kang (South),2024,6,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (South),2024,6,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (South),2024,6,6,-,-,-,-,    28.4,    34.1,    25.1,     4.4,    27.4
Choa Chu Kang (South),2024,6,7,-,-,-,-,    28.1,    33.8,    25.8,     3.6,    23.7
Choa Chu Kang (South),2024,6,8,     0.0,-,-,-,    28.5,    32.0,    26.4,     3.7,    24.4
Choa Chu Kang (South),2024,6,9,     0.0,     0.0,     0.0,     0.0,    29.1,    32.9,    26.3,     4.0,    23.3
Choa Chu Kang (South),2024,6,10,     5.0,     3.8,     5.0,     5.0,    28.5,    32.0,    25.6,     3.5,    25.9
Choa Chu Kang (South),2024,6,11,     0.0,     0.0,     0.0,     0.0,    28.7,    35.1,    24.5,     4.8,    38.5
Choa Chu Kang (South),2024,6,12,     1.4,     0.8,     1.2,     1.4,    28.0,    31.8,    25.4,     4.1,    23.7
Choa Chu Kang (South),2024,6,13,    18.6,    14.6,    15.4,    15.4,    28.6,    34.3,    25.3,     3.7,    22.0
Choa Chu Kang (South),2024,6,14,     0.4,     0.4,     0.4,     3.2,    27.9,    32.9,    25.9,     4.0,    23.7
Choa Chu Kang (South),2024,6,15,    29.6,    27.6,    29.6,    29.6,    28.3,    32.2,    23.6,     3.9,    29.1
Choa Chu Kang (South),2024,6,16,    24.2,    14.0,    20.4,    23.6,    28.1,    32.5,    23.2,     4.1,    28.5
Choa Chu Kang (South),2024,6,17,    16.2,     9.2,     9.4,    13.8,    27.7,    32.8,    24.0,     6.2,    38.5
Choa Chu Kang (South),2024,6,18,     0.0,     0.0,     0.0,     0.0,    28.2,    32.0,    25.5,     4.4,    28.5
Choa Chu Kang (South),2024,6,19,    60.8,    53.0,    60.2,    60.8,    28.4,    30.8,    24.1,     4.7,    32.4
Choa Chu Kang (South),2024,6,20,     2.2,     2.2,     2.2,     2.2,    28.7,    33.6,    24.6,     4.9,    29.4
Choa Chu Kang (South),2024,6,21,    26.2,     8.6,     9.2,    17.6,    27.1,    31.0,    22.7,     6.3,    43.9
Choa Chu Kang (South),2024,6,22,    49.2,    24.6,    33.4,    42.6,    25.9,    28.6,    22.8,     6.1,    47.2
Choa Chu Kang (South),2024,6,23,     0.0,     0.0,     0.0,     0.0,    28.4,    32.2,    25.0,     4.8,    28.5
Choa Chu Kang (South),2024,6,24,     0.0,     0.0,     0.0,     0.0,    29.2,    33.7,    26.1,     4.8,    26.3
Choa Chu Kang (South),2024,6,25,    12.2,     7.4,    10.2,    11.4,    28.8,    33.4,    25.9,     5.1,    32.8
Choa Chu Kang (South),2024,6,26,    57.0,    32.6,    41.0,    56.2,    28.3,    34.4,    23.5,     4.5,    28.5
Choa Chu Kang (South),2024,6,27,     2.6,     2.6,     2.6,     2.6,    28.0,    32.5,    25.5,     4.2,    21.7
Choa Chu Kang (South),2024,6,28,     0.2,     0.2,     0.2,     0.2,    28.4,    34.9,    26.3,     3.8,    32.4
Choa Chu Kang (South),2024,6,29,     2.6,     2.0,     2.6,     2.6,    28.3,    32.3,    25.9,     3.5,    19.1
Choa Chu Kang (South),2024,6,30,    40.8,    16.0,    16.0,    16.6,    25.7,    27.9,    23.6,     3.8,    47.2
