Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Toa Payoh,2024,11,1,    17.6,    10.2,    17.6,    17.6,-,-,-,-,-
Toa Payoh,2024,11,2,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Toa Payoh,2024,11,3,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Toa Payoh,2024,11,4,    16.0,     9.8,    15.2,    15.4,-,-,-,-,-
Toa Payoh,2024,11,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,11,6,     6.8,     4.6,     6.2,     6.8,-,-,-,-,-
Toa Payoh,2024,11,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,11,8,     1.8,     1.2,     1.2,     1.4,-,-,-,-,-
Toa Payoh,2024,11,9,    11.4,     7.6,    11.2,    11.4,-,-,-,-,-
Toa Payoh,2024,11,10,    27.4,    19.6,    22.2,    24.2,-,-,-,-,-
Toa Payoh,2024,11,11,    29.0,    23.2,    27.4,    29.0,-,-,-,-,-
Toa Payoh,2024,11,12,     9.8,     6.2,     9.0,     9.0,-,-,-,-,-
Toa Payoh,2024,11,13,    34.8,    18.8,    27.2,    34.4,-,-,-,-,-
Toa Payoh,2024,11,14,    15.6,    12.0,    15.6,    15.6,-,-,-,-,-
Toa Payoh,2024,11,15,     0.8,     0.6,     0.8,     0.8,-,-,-,-,-
Toa Payoh,2024,11,16,    36.6,    14.2,    26.6,    34.6,-,-,-,-,-
Toa Payoh,2024,11,17,     6.6,     2.2,     3.4,     6.6,-,-,-,-,-
Toa Payoh,2024,11,18,     3.0,     2.8,     2.8,     2.8,-,-,-,-,-
Toa Payoh,2024,11,19,     3.8,     1.4,     2.2,     2.8,-,-,-,-,-
Toa Payoh,2024,11,20,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Toa Payoh,2024,11,21,    19.6,    10.8,    11.0,    11.0,-,-,-,-,-
Toa Payoh,2024,11,22,    72.6,    39.4,    61.2,    66.8,-,-,-,-,-
Toa Payoh,2024,11,23,    11.8,     6.2,     6.2,     8.6,-,-,-,-,-
Toa Payoh,2024,11,24,     8.4,     7.0,     8.2,     8.2,-,-,-,-,-
Toa Payoh,2024,11,25,     9.6,     8.0,     8.8,     9.0,-,-,-,-,-
Toa Payoh,2024,11,26,    16.6,     5.2,     6.8,    12.0,-,-,-,-,-
Toa Payoh,2024,11,27,     6.8,     1.8,     2.8,     3.8,-,-,-,-,-
Toa Payoh,2024,11,28,     3.6,     1.0,     1.4,     1.8,-,-,-,-,-
Toa Payoh,2024,11,29,    39.8,    22.0,    26.2,    29.4,-,-,-,-,-
Toa Payoh,2024,11,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
