Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Lim Chu Kang,2024,8,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,3,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,8,4,    24.6,    10.8,    14.4,    23.0,-,-,-,-,-
Lim Chu Kang,2024,8,5,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Lim Chu Kang,2024,8,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,8,9,    18.4,     6.6,     6.6,     6.6,-,-,-,-,-
Lim Chu Kang,2024,8,10,     2.4,     2.2,     2.2,     2.2,-,-,-,-,-
Lim Chu Kang,2024,8,11,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,8,12,     2.4,     1.0,     1.0,     1.4,-,-,-,-,-
Lim Chu Kang,2024,8,13,     3.0,     3.0,     3.0,     3.0,-,-,-,-,-
Lim Chu Kang,2024,8,14,    16.6,     5.8,     9.8,    11.2,-,-,-,-,-
Lim Chu Kang,2024,8,15,     1.2,     0.8,     1.2,     1.2,-,-,-,-,-
Lim Chu Kang,2024,8,16,     2.6,     2.4,     2.4,     2.4,-,-,-,-,-
Lim Chu Kang,2024,8,17,    11.8,     8.0,     8.0,     8.0,-,-,-,-,-
Lim Chu Kang,2024,8,18,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,8,19,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Lim Chu Kang,2024,8,20,    39.2,    21.0,    25.8,    26.4,-,-,-,-,-
Lim Chu Kang,2024,8,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,23,    44.6,    40.0,    43.8,    44.6,-,-,-,-,-
Lim Chu Kang,2024,8,24,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Lim Chu Kang,2024,8,25,    53.2,    30.6,    38.0,    52.8,-,-,-,-,-
Lim Chu Kang,2024,8,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,27,    14.0,     8.2,    12.2,    13.4,-,-,-,-,-
Lim Chu Kang,2024,8,28,    19.2,     9.4,    13.4,    14.4,-,-,-,-,-
Lim Chu Kang,2024,8,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Lim Chu Kang,2024,8,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
