Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Upper Peirce Reservoir,2024,6,1,     5.8,     1.8,     2.6,     4.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,2,    11.0,     7.8,     8.8,     9.6,-,-,-,-,-
Upper Peirce Reservoir,2024,6,3,     6.4,     6.0,     6.2,     6.4,-,-,-,-,-
Upper Peirce Reservoir,2024,6,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,6,     8.0,     6.6,     7.6,     7.6,-,-,-,-,-
Upper Peirce Reservoir,2024,6,7,     2.0,     2.0,     2.0,     2.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,9,     6.4,     4.2,     4.6,     4.6,-,-,-,-,-
Upper Peirce Reservoir,2024,6,10,     5.2,     4.4,     4.4,     5.2,-,-,-,-,-
Upper Peirce Reservoir,2024,6,11,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Upper Peirce Reservoir,2024,6,12,     7.6,     4.0,     4.0,     7.4,-,-,-,-,-
Upper Peirce Reservoir,2024,6,13,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Upper Peirce Reservoir,2024,6,14,    44.6,    41.6,    43.4,    44.4,-,-,-,-,-
Upper Peirce Reservoir,2024,6,15,     1.6,     1.4,     1.6,     1.6,-,-,-,-,-
Upper Peirce Reservoir,2024,6,16,    34.8,    25.2,    33.0,    34.6,-,-,-,-,-
Upper Peirce Reservoir,2024,6,17,     9.8,     6.2,     6.2,     6.4,-,-,-,-,-
Upper Peirce Reservoir,2024,6,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,20,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,21,    41.0,    18.4,    22.0,    24.8,-,-,-,-,-
Upper Peirce Reservoir,2024,6,22,    59.2,    26.2,    36.2,    52.2,-,-,-,-,-
Upper Peirce Reservoir,2024,6,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,25,     3.8,     1.6,     2.2,     3.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,26,     9.6,     6.4,     6.4,     9.4,-,-,-,-,-
Upper Peirce Reservoir,2024,6,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,28,    30.0,    28.0,    28.0,    30.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,29,     3.2,     2.2,     2.8,     3.0,-,-,-,-,-
Upper Peirce Reservoir,2024,6,30,    27.6,     8.8,    13.4,    18.8,-,-,-,-,-
