Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2024,1,1,     5.4,     3.2,     3.2,     3.2,-,-,-,-,-
Choa Chu Kang (Central),2024,1,2,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2024,1,3,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2024,1,4,    55.6,     9.8,    13.4,    18.8,-,-,-,-,-
Choa Chu Kang (Central),2024,1,5,     2.8,     1.2,     1.6,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2024,1,6,     0.4,     0.2,     0.2,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,7,    75.0,    30.8,    46.6,    53.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,8,     3.4,     3.0,     3.2,     3.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,9,    10.2,     2.8,     3.8,     4.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,10,    41.2,    11.0,    14.4,    21.8,-,-,-,-,-
Choa Chu Kang (Central),2024,1,11,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,12,     5.0,     1.2,     1.6,     2.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,15,    17.2,    10.8,    17.0,    17.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,16,     3.0,     1.4,     1.8,     2.8,-,-,-,-,-
Choa Chu Kang (Central),2024,1,17,     7.8,     6.4,     6.4,     6.8,-,-,-,-,-
Choa Chu Kang (Central),2024,1,18,    16.8,     9.0,     9.2,     9.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,19,     1.8,     0.8,     1.0,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2024,1,20,     8.6,     0.8,     1.4,     2.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2024,1,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,23,    50.6,    17.0,    27.8,    46.4,-,-,-,-,-
Choa Chu Kang (Central),2024,1,24,   106.2,    45.0,    59.4,    62.6,-,-,-,-,-
Choa Chu Kang (Central),2024,1,25,     3.4,     0.6,     2.2,     3.6,-,-,-,-,-
Choa Chu Kang (Central),2024,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,1,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
