Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Pier,2024,5,1,     1.8,     0.6,     1.0,     1.2,-,-,-,-,-
Jurong Pier,2024,5,2,     0.2,     0.2,     0.6,     1.2,-,-,-,-,-
Jurong Pier,2024,5,3,    24.2,    15.8,    16.8,    17.0,-,-,-,-,-
Jurong Pier,2024,5,4,    63.2,    33.2,    43.4,    48.4,-,-,-,-,-
Jurong Pier,2024,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,7,    56.6,    20.2,    26.4,    39.8,-,-,-,-,-
Jurong Pier,2024,5,8,    46.6,    14.6,    27.2,    42.2,-,-,-,-,-
Jurong Pier,2024,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,12,     6.2,     3.8,     6.0,     6.0,-,-,-,-,-
Jurong Pier,2024,5,13,    50.6,    19.4,    25.0,    25.6,-,-,-,-,-
Jurong Pier,2024,5,14,    29.0,    20.0,    25.4,    25.8,-,-,-,-,-
Jurong Pier,2024,5,15,    27.8,    21.8,    27.4,    27.8,-,-,-,-,-
Jurong Pier,2024,5,16,    14.2,     5.6,     7.0,     9.0,-,-,-,-,-
Jurong Pier,2024,5,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,18,    20.8,    20.6,    20.6,    20.8,-,-,-,-,-
Jurong Pier,2024,5,19,     4.6,     4.4,     4.4,     4.6,-,-,-,-,-
Jurong Pier,2024,5,20,    23.2,    11.4,    12.0,    22.4,-,-,-,-,-
Jurong Pier,2024,5,21,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Jurong Pier,2024,5,22,    34.4,    15.8,    26.8,    32.2,-,-,-,-,-
Jurong Pier,2024,5,23,    20.0,    18.2,    18.8,    19.4,-,-,-,-,-
Jurong Pier,2024,5,24,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Jurong Pier,2024,5,25,    24.2,    18.4,    21.6,    22.0,-,-,-,-,-
Jurong Pier,2024,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Pier,2024,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
