Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Toa Payoh,2024,5,1,    26.2,    14.4,    17.2,    18.0,-,-,-,-,-
Toa Payoh,2024,5,2,     1.2,     1.6,     8.4,    19.0,-,-,-,-,-
Toa Payoh,2024,5,3,    13.6,     8.6,    13.6,    13.6,-,-,-,-,-
Toa Payoh,2024,5,4,    32.2,     6.6,    11.2,    14.0,-,-,-,-,-
Toa Payoh,2024,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,7,    32.0,    18.0,    19.8,    19.8,-,-,-,-,-
Toa Payoh,2024,5,8,    10.6,     5.8,     8.6,    10.6,-,-,-,-,-
Toa Payoh,2024,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,11,     9.4,     9.2,     9.4,     9.4,-,-,-,-,-
Toa Payoh,2024,5,12,     2.6,     1.8,     1.8,     1.8,-,-,-,-,-
Toa Payoh,2024,5,13,    22.8,    18.0,    22.0,    22.0,-,-,-,-,-
Toa Payoh,2024,5,14,    51.4,    39.4,    49.4,    51.4,-,-,-,-,-
Toa Payoh,2024,5,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,16,    18.0,     6.0,    10.6,    11.8,-,-,-,-,-
Toa Payoh,2024,5,17,     1.0,     0.6,     0.8,     0.8,-,-,-,-,-
Toa Payoh,2024,5,18,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Toa Payoh,2024,5,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,20,    11.8,     5.2,     6.6,     7.2,-,-,-,-,-
Toa Payoh,2024,5,21,     1.6,     1.4,     1.6,     1.6,-,-,-,-,-
Toa Payoh,2024,5,22,    17.2,     6.2,     7.6,     8.8,-,-,-,-,-
Toa Payoh,2024,5,23,    29.6,    26.2,    29.0,    29.2,-,-,-,-,-
Toa Payoh,2024,5,24,     0.8,     0.4,     0.6,     0.8,-,-,-,-,-
Toa Payoh,2024,5,25,    13.8,    10.0,    10.4,    10.6,-,-,-,-,-
Toa Payoh,2024,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,28,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Toa Payoh,2024,5,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,5,30,    11.2,    10.8,    11.0,    11.2,-,-,-,-,-
Toa Payoh,2024,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
