Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,2024,6,1,     6.2,     1.4,     2.2,     3.4,-,-,-,-,-
Bukit Panjang,2024,6,2,     4.2,     2.0,     2.4,     3.6,-,-,-,-,-
Bukit Panjang,2024,6,3,     7.2,     6.4,     7.0,     7.2,-,-,-,-,-
Bukit Panjang,2024,6,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,6,    41.0,    21.2,    35.2,    40.6,-,-,-,-,-
Bukit Panjang,2024,6,7,    22.2,    15.4,    21.4,    22.0,-,-,-,-,-
Bukit Panjang,2024,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,9,     2.4,     2.4,     2.4,     2.4,-,-,-,-,-
Bukit Panjang,2024,6,10,    30.0,    23.6,    24.0,    24.0,-,-,-,-,-
Bukit Panjang,2024,6,11,     3.4,     2.8,     3.4,     3.4,-,-,-,-,-
Bukit Panjang,2024,6,12,     1.6,     1.0,     1.4,     1.4,-,-,-,-,-
Bukit Panjang,2024,6,13,     4.8,     4.4,     4.6,     4.6,-,-,-,-,-
Bukit Panjang,2024,6,14,     1.4,     1.2,     1.2,     1.2,-,-,-,-,-
Bukit Panjang,2024,6,15,    16.2,    15.4,    16.0,    16.0,-,-,-,-,-
Bukit Panjang,2024,6,16,    50.0,    36.2,    46.4,    49.2,-,-,-,-,-
Bukit Panjang,2024,6,17,    11.6,     6.6,    11.4,    11.6,-,-,-,-,-
Bukit Panjang,2024,6,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,19,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Bukit Panjang,2024,6,20,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Bukit Panjang,2024,6,21,    26.8,     6.6,     8.6,    12.2,-,-,-,-,-
Bukit Panjang,2024,6,22,    44.4,    23.2,    30.6,    38.6,-,-,-,-,-
Bukit Panjang,2024,6,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,25,    12.6,     5.4,     8.4,    11.8,-,-,-,-,-
Bukit Panjang,2024,6,26,    70.2,    35.6,    57.4,    69.6,-,-,-,-,-
Bukit Panjang,2024,6,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,6,28,     8.6,     6.4,     7.4,     8.4,-,-,-,-,-
Bukit Panjang,2024,6,29,     2.0,     1.8,     2.0,     2.0,-,-,-,-,-
Bukit Panjang,2024,6,30,    19.2,     4.0,     6.0,    10.0,-,-,-,-,-
