Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,2024,7,1,     2.2,     1.0,     1.2,     1.4,-,-,-,-,-
Bukit Panjang,2024,7,2,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Bukit Panjang,2024,7,3,    13.6,    13.0,    13.6,    13.6,-,-,-,-,-
Bukit Panjang,2024,7,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,5,    14.6,    11.2,    14.0,    14.2,-,-,-,-,-
Bukit Panjang,2024,7,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,8,    16.2,     7.8,     7.8,    12.4,-,-,-,-,-
Bukit Panjang,2024,7,9,     4.2,     3.4,     3.4,     4.0,-,-,-,-,-
Bukit Panjang,2024,7,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,12,    15.2,    11.0,    14.4,    14.4,-,-,-,-,-
Bukit Panjang,2024,7,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,7,31,    40.8,    28.0,    35.6,    40.8,-,-,-,-,-
