Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Marine Parade,2024,10,1,     1.4,     0.6,     0.8,     1.4,-,-,-,-,-
Marine Parade,2024,10,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,4,     9.4,     7.0,     7.8,     8.4,-,-,-,-,-
Marine Parade,2024,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,6,    16.6,    10.0,    11.2,    12.6,-,-,-,-,-
Marine Parade,2024,10,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,12,     2.6,     2.0,     2.0,     2.6,-,-,-,-,-
Marine Parade,2024,10,13,     6.6,     6.4,     6.4,     6.4,-,-,-,-,-
Marine Parade,2024,10,14,    64.4,    15.2,    29.2,    43.2,-,-,-,-,-
Marine Parade,2024,10,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,16,     5.8,     4.4,     4.8,     5.0,-,-,-,-,-
Marine Parade,2024,10,17,    10.6,     9.6,    10.2,    10.6,-,-,-,-,-
Marine Parade,2024,10,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,20,    20.2,    10.2,    14.2,    17.2,-,-,-,-,-
Marine Parade,2024,10,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,22,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Marine Parade,2024,10,23,     3.0,     3.0,     3.0,     3.0,-,-,-,-,-
Marine Parade,2024,10,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Marine Parade,2024,10,31,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
