Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Punggol,2024,5,1,    20.8,    12.6,    20.8,    20.8,-,-,-,-,-
Punggol,2024,5,2,     9.6,     8.6,    21.0,    21.2,-,-,-,-,-
Punggol,2024,5,3,     5.6,     5.4,     5.6,     5.6,-,-,-,-,-
Punggol,2024,5,4,    74.0,    31.6,    34.4,    36.8,-,-,-,-,-
Punggol,2024,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,7,    20.8,    11.0,    11.4,    11.6,-,-,-,-,-
Punggol,2024,5,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2024,5,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,10,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Punggol,2024,5,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,12,     2.4,     2.0,     2.4,     2.4,-,-,-,-,-
Punggol,2024,5,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,14,    15.6,    15.2,    15.6,    15.6,-,-,-,-,-
Punggol,2024,5,15,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Punggol,2024,5,16,    24.6,    22.2,    23.8,    24.0,-,-,-,-,-
Punggol,2024,5,17,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Punggol,2024,5,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,20,    35.2,    23.4,    30.2,    32.2,-,-,-,-,-
Punggol,2024,5,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,22,     1.6,     0.8,     1.0,     1.4,-,-,-,-,-
Punggol,2024,5,23,     4.6,     1.6,     3.0,     4.0,-,-,-,-,-
Punggol,2024,5,24,     8.4,     5.4,     5.4,     5.4,-,-,-,-,-
Punggol,2024,5,25,    25.4,    13.0,    14.8,    16.0,-,-,-,-,-
Punggol,2024,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Punggol,2024,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
