Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (Central),2024,10,1,     2.4,     2.0,     2.0,     2.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,3,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Choa Chu Kang (Central),2024,10,4,    26.6,    17.8,    22.8,    24.6,-,-,-,-,-
Choa Chu Kang (Central),2024,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,6,    39.6,    18.2,    33.2,    36.8,-,-,-,-,-
Choa Chu Kang (Central),2024,10,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,9,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2024,10,10,    12.6,    10.4,    10.8,    12.4,-,-,-,-,-
Choa Chu Kang (Central),2024,10,11,     1.8,     0.8,     1.0,     1.2,-,-,-,-,-
Choa Chu Kang (Central),2024,10,12,     8.4,     5.0,     6.0,     7.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,14,    41.4,    14.2,    22.0,    24.6,-,-,-,-,-
Choa Chu Kang (Central),2024,10,15,    22.2,    11.2,    17.0,    21.2,-,-,-,-,-
Choa Chu Kang (Central),2024,10,16,    57.6,    46.8,    55.8,    57.2,-,-,-,-,-
Choa Chu Kang (Central),2024,10,17,     0.8,     0.4,     0.6,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2024,10,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,19,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2024,10,20,     8.8,     4.0,     6.0,     7.2,-,-,-,-,-
Choa Chu Kang (Central),2024,10,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,23,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Choa Chu Kang (Central),2024,10,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,25,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Choa Chu Kang (Central),2024,10,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,28,     1.6,     1.0,     1.0,     1.6,-,-,-,-,-
Choa Chu Kang (Central),2024,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Choa Chu Kang (Central),2024,10,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
