Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ulu Pandan,2024,10,1,     1.4,     0.6,     0.8,     1.4,-,-,-,-,-
Ulu Pandan,2024,10,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,4,     7.2,     5.6,     6.2,     6.4,-,-,-,-,-
Ulu Pandan,2024,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,6,    20.6,     5.0,     6.8,     9.4,-,-,-,-,-
Ulu Pandan,2024,10,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,9,    25.6,    22.6,    25.6,    25.6,-,-,-,-,-
Ulu Pandan,2024,10,10,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Ulu Pandan,2024,10,11,    13.0,     9.8,    12.2,    12.8,-,-,-,-,-
Ulu Pandan,2024,10,12,     2.6,     0.8,     1.2,     1.4,-,-,-,-,-
Ulu Pandan,2024,10,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,14,   130.0,    53.4,    77.4,    93.0,-,-,-,-,-
Ulu Pandan,2024,10,15,    28.6,    17.2,    25.8,    27.8,-,-,-,-,-
Ulu Pandan,2024,10,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,17,     3.2,     3.2,     3.2,     3.2,-,-,-,-,-
Ulu Pandan,2024,10,18,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Ulu Pandan,2024,10,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,20,    18.4,     8.0,     8.6,    12.2,-,-,-,-,-
Ulu Pandan,2024,10,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,23,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Ulu Pandan,2024,10,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Ulu Pandan,2024,10,31,    18.0,    16.0,    18.0,    18.0,-,-,-,-,-
