Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2024,7,1,     1.8,     1.2,     1.4,     1.6,    26.9,    31.3,    24.9,     3.7,    22.0
Choa Chu Kang (South),2024,7,2,     0.6,     0.4,     0.4,     0.6,    28.6,    32.9,    25.7,     3.8,    24.4
Choa Chu Kang (South),2024,7,3,     9.2,     6.2,     9.0,     9.0,    28.6,    32.7,    23.9,     4.9,    28.9
Choa Chu Kang (South),2024,7,4,     0.0,     0.0,     0.0,     0.0,    29.9,    33.5,    27.5,     6.3,    30.6
Choa Chu Kang (South),2024,7,5,    25.6,    19.4,    25.4,    25.6,    28.1,    33.6,    22.1,     3.2,    42.0
Choa Chu Kang (South),2024,7,6,     0.0,     0.0,     0.0,     0.0,    28.4,    32.8,    25.8,     4.2,    18.0
Choa Chu Kang (South),2024,7,7,     0.4,     0.2,     0.2,     0.4,    28.3,    33.6,    24.8,     3.7,    20.6
Choa Chu Kang (South),2024,7,8,    24.0,    10.2,    17.8,    20.0,    26.2,    29.9,    23.6,     4.8,    28.2
Choa Chu Kang (South),2024,7,9,     7.0,     4.8,     5.2,     6.8,    27.4,    30.8,    25.4,     4.4,    28.2
Choa Chu Kang (South),2024,7,10,     0.0,     0.0,     0.0,     0.0,    28.2,    32.3,    25.6,     4.0,    23.3
Choa Chu Kang (South),2024,7,11,     0.0,     0.0,     0.0,     0.0,    29.1,    32.3,    26.6,     6.9,    38.9
Choa Chu Kang (South),2024,7,12,     1.0,     0.4,     0.8,     1.0,    27.6,    32.0,    24.9,     4.6,    19.1
Choa Chu Kang (South),2024,7,13,     0.0,     0.0,     0.0,     0.0,    28.6,    32.7,    24.8,     5.6,    32.0
Choa Chu Kang (South),2024,7,14,     0.0,     0.0,     0.0,     0.0,    29.1,    31.8,    26.9,     6.2,    30.6
Choa Chu Kang (South),2024,7,15,     0.0,     0.0,     0.0,     0.0,    29.4,    32.4,    27.2,     7.3,    31.7
Choa Chu Kang (South),2024,7,16,     0.0,     0.0,     0.0,     0.0,    29.2,    31.3,    27.4,     7.8,    32.8
Choa Chu Kang (South),2024,7,17,     0.0,     0.0,     0.0,     0.0,    29.4,    31.9,    27.6,     7.0,    31.3
Choa Chu Kang (South),2024,7,18,     0.0,     0.0,     0.0,     0.0,    29.8,    33.0,    27.4,     7.7,    31.7
Choa Chu Kang (South),2024,7,19,     0.0,     0.0,     0.0,     0.0,    29.9,    32.9,    28.0,     7.7,    32.4
Choa Chu Kang (South),2024,7,20,     0.0,     0.0,     0.0,     0.0,    30.0,    33.6,    28.2,     7.9,    35.2
Choa Chu Kang (South),2024,7,21,     0.0,     0.0,     0.0,     0.0,    29.9,    32.8,    28.3,     8.0,    37.0
Choa Chu Kang (South),2024,7,22,     0.0,     0.0,     0.0,     0.0,    30.2,    33.2,    28.1,     7.9,    31.7
Choa Chu Kang (South),2024,7,23,     0.0,     0.0,     0.0,     0.0,    30.2,    33.6,    28.1,     7.3,    27.8
Choa Chu Kang (South),2024,7,24,     0.0,     0.0,     0.0,     0.0,    29.8,    33.1,    27.7,     7.1,    30.2
Choa Chu Kang (South),2024,7,25,     0.0,     0.0,     0.0,     0.0,    29.7,    32.5,    27.4,     7.5,    35.2
Choa Chu Kang (South),2024,7,26,     0.0,     0.0,     0.0,     0.0,    29.9,    33.0,    27.8,     8.2,    35.2
Choa Chu Kang (South),2024,7,27,     0.0,     0.0,     0.0,     0.0,    30.1,    33.5,    27.8,     8.2,    35.2
Choa Chu Kang (South),2024,7,28,     0.0,     0.0,     0.0,     0.0,    30.1,    33.5,    27.8,     8.4,    35.6
Choa Chu Kang (South),2024,7,29,     0.0,     0.0,     0.0,     0.0,    30.2,    33.7,    27.8,     7.4,    35.0
Choa Chu Kang (South),2024,7,30,     0.0,     0.0,     0.0,     0.0,    30.2,    34.2,    27.6,     7.4,    30.2
Choa Chu Kang (South),2024,7,31,    25.8,    20.8,    24.4,    24.6,    28.4,    33.7,    24.2,     5.8,    34.3
