Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Panjang,2024,2,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,2,    14.6,     7.4,    14.2,    14.4,-,-,-,-,-
Bukit Panjang,2024,2,3,    47.4,    32.6,    42.4,    47.2,-,-,-,-,-
Bukit Panjang,2024,2,4,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Panjang,2024,2,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,6,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Bukit Panjang,2024,2,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,8,    17.8,    10.6,    16.4,    17.8,-,-,-,-,-
Bukit Panjang,2024,2,9,    15.6,     7.0,    12.6,    15.6,-,-,-,-,-
Bukit Panjang,2024,2,10,    10.4,     5.4,    10.2,    10.4,-,-,-,-,-
Bukit Panjang,2024,2,11,     0.0,     0.0,     0.2,     5.2,-,-,-,-,-
Bukit Panjang,2024,2,12,     6.4,     3.0,     3.0,     3.4,-,-,-,-,-
Bukit Panjang,2024,2,13,     7.4,     2.0,     2.2,     3.8,-,-,-,-,-
Bukit Panjang,2024,2,14,    15.4,     9.2,     9.2,     9.2,-,-,-,-,-
Bukit Panjang,2024,2,15,     2.4,     1.2,     1.4,     1.8,-,-,-,-,-
Bukit Panjang,2024,2,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,17,    11.4,    10.6,    11.4,    11.4,-,-,-,-,-
Bukit Panjang,2024,2,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,20,     8.8,     5.8,     6.0,     6.2,-,-,-,-,-
Bukit Panjang,2024,2,21,     9.2,     9.2,     9.2,     9.2,-,-,-,-,-
Bukit Panjang,2024,2,22,     2.8,     2.6,     2.8,     2.8,-,-,-,-,-
Bukit Panjang,2024,2,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,24,     0.6,     0.4,     0.4,     0.6,-,-,-,-,-
Bukit Panjang,2024,2,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,27,     2.2,     1.0,     1.2,     1.2,-,-,-,-,-
Bukit Panjang,2024,2,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Panjang,2024,2,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
