Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kent Ridge,2024,5,1,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,5,2,     0.0,     0.0,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,5,3,     2.0,     2.0,     2.0,     2.0,-,-,-,-,-
Kent Ridge,2024,5,4,    53.6,    22.0,    32.6,    38.8,-,-,-,-,-
Kent Ridge,2024,5,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,7,     2.0,     1.2,     2.0,     2.0,-,-,-,-,-
Kent Ridge,2024,5,8,    38.8,    22.4,    35.0,    36.4,-,-,-,-,-
Kent Ridge,2024,5,9,     0.0,     0.0,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,5,10,    15.8,    14.8,    15.6,    15.6,-,-,-,-,-
Kent Ridge,2024,5,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,12,     7.2,     7.0,     7.0,     7.2,-,-,-,-,-
Kent Ridge,2024,5,13,    37.4,    30.6,    36.4,    37.2,-,-,-,-,-
Kent Ridge,2024,5,14,     9.4,     8.6,     9.4,     9.4,-,-,-,-,-
Kent Ridge,2024,5,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,16,     9.0,     2.2,     3.6,     5.8,-,-,-,-,-
Kent Ridge,2024,5,17,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,5,18,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,5,19,     1.8,     1.6,     1.8,     1.8,-,-,-,-,-
Kent Ridge,2024,5,20,     1.4,     0.4,     0.6,     1.0,-,-,-,-,-
Kent Ridge,2024,5,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,22,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Kent Ridge,2024,5,23,     2.6,     1.6,     2.0,     2.2,-,-,-,-,-
Kent Ridge,2024,5,24,     0.8,     0.4,     0.6,     0.8,-,-,-,-,-
Kent Ridge,2024,5,25,    25.4,    20.2,    21.4,    21.8,-,-,-,-,-
Kent Ridge,2024,5,26,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Kent Ridge,2024,5,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kent Ridge,2024,5,30,     0.8,     0.6,     0.8,     0.8,-,-,-,-,-
Kent Ridge,2024,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
