Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Choa Chu Kang (South),2024,1,1,     5.8,     4.4,     4.4,     4.4,    25.8,    28.9,    24.6,    13.1,    34.3
Choa Chu Kang (South),2024,1,2,     0.0,     0.0,     0.0,     0.6,    27.6,    32.8,    24.3,    12.4,    35.9
Choa Chu Kang (South),2024,1,3,     0.0,     0.0,     0.0,     0.0,    27.7,    31.2,    25.8,    12.8,    30.6
Choa Chu Kang (South),2024,1,4,    53.4,     9.2,    13.0,    18.0,    25.2,    26.9,    23.9,    11.5,    31.3
Choa Chu Kang (South),2024,1,5,     2.2,     1.4,     1.6,     1.8,    26.6,    30.3,    24.5,    15.6,    35.9
Choa Chu Kang (South),2024,1,6,     1.0,     0.8,     0.8,     0.8,    27.0,    30.4,    25.1,    12.3,    35.0
Choa Chu Kang (South),2024,1,7,    65.0,    24.0,    31.8,    40.4,    24.3,    26.1,    23.0,    11.1,    29.8
Choa Chu Kang (South),2024,1,8,     2.0,     1.8,     1.8,     2.0,    26.3,    31.7,    23.1,    14.8,    35.0
Choa Chu Kang (South),2024,1,9,     8.8,     2.0,     3.0,     4.2,    26.7,    30.6,    24.2,    14.5,    31.7
Choa Chu Kang (South),2024,1,10,    48.0,    18.6,    18.6,    19.4,    26.3,    29.4,    24.3,    14.3,    43.2
Choa Chu Kang (South),2024,1,11,     0.4,     0.4,     0.4,     0.4,    27.2,    29.8,    25.0,    14.7,    47.6
Choa Chu Kang (South),2024,1,12,     3.8,     1.0,     1.2,     1.8,    25.2,    26.9,    23.8,    15.0,    39.6
Choa Chu Kang (South),2024,1,13,     0.0,     0.0,     0.0,     0.0,    26.9,    31.1,    24.0,    11.7,    25.6
Choa Chu Kang (South),2024,1,14,     0.0,     0.0,     0.0,     0.0,    27.6,    31.4,    25.2,    13.3,    35.0
Choa Chu Kang (South),2024,1,15,    11.6,    10.8,    11.4,    11.4,    27.6,    32.1,    25.5,    13.5,    40.7
Choa Chu Kang (South),2024,1,16,     3.6,     2.0,     2.6,     3.2,    26.9,    30.1,    24.4,-,    37.8
Choa Chu Kang (South),2024,1,17,     7.8,     7.0,     7.2,     7.4,    27.3,    31.3,    25.1,     9.7,    46.1
Choa Chu Kang (South),2024,1,18,    15.2,     9.4,     9.6,     9.8,    26.4,    29.6,    24.3,     5.5,    47.6
Choa Chu Kang (South),2024,1,19,     1.2,     0.4,     0.6,     0.8,    26.4,    29.9,    25.1,     4.3,    24.8
Choa Chu Kang (South),2024,1,20,     9.8,     1.6,     2.4,     3.2,    24.7,    26.5,    23.3,     4.5,    16.1
Choa Chu Kang (South),2024,1,21,     0.8,     0.6,     0.6,     0.6,    27.3,    34.0,    23.3,     5.8,    22.0
Choa Chu Kang (South),2024,1,22,     0.0,     0.0,     0.0,     0.0,    28.2,    33.3,    24.6,     5.7,    25.6
Choa Chu Kang (South),2024,1,23,    52.2,    19.6,    29.4,    50.0,    26.6,    32.9,    23.3,     5.0,    27.8
Choa Chu Kang (South),2024,1,24,    58.4,    19.4,    27.6,    29.6,    25.9,    30.5,    23.8,     4.9,    28.2
Choa Chu Kang (South),2024,1,25,     3.4,     1.2,     3.0,     4.8,    25.9,    29.9,    24.4,     7.0,    25.2
Choa Chu Kang (South),2024,1,26,     0.0,     0.0,     0.2,     0.2,    27.7,    31.9,    25.1,    11.5,    37.4
Choa Chu Kang (South),2024,1,27,     0.0,     0.0,     0.0,     0.0,    28.2,    31.8,    26.0,    13.1,    41.5
Choa Chu Kang (South),2024,1,28,     0.4,     0.4,     0.4,     0.4,    28.0,    31.8,    25.4,    11.9,    39.3
Choa Chu Kang (South),2024,1,29,     0.0,     0.0,     0.0,     0.0,    27.9,    31.9,    25.4,    11.8,    35.6
Choa Chu Kang (South),2024,1,30,     1.6,     1.6,     1.6,     1.6,    27.3,    30.8,    24.9,     8.3,    32.8
Choa Chu Kang (South),2024,1,31,     0.0,     0.0,     0.0,     0.0,    27.7,    32.5,    24.9,     8.2,    30.6
