Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Toa Payoh,2024,7,1,    46.2,    37.2,    41.2,    41.2,-,-,-,-,-
Toa Payoh,2024,7,2,     1.4,     0.6,     0.8,     1.2,-,-,-,-,-
Toa Payoh,2024,7,3,     2.0,     2.0,     2.0,     2.0,-,-,-,-,-
Toa Payoh,2024,7,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,6,     2.8,     2.4,     2.8,     2.8,-,-,-,-,-
Toa Payoh,2024,7,7,     2.8,     1.6,     1.6,     2.8,-,-,-,-,-
Toa Payoh,2024,7,8,     5.6,     1.6,     2.4,     3.4,-,-,-,-,-
Toa Payoh,2024,7,9,     4.0,     1.8,     2.8,     3.8,-,-,-,-,-
Toa Payoh,2024,7,10,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Toa Payoh,2024,7,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,12,    14.8,    13.4,    13.6,    14.2,-,-,-,-,-
Toa Payoh,2024,7,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,14,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Toa Payoh,2024,7,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,19,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Toa Payoh,2024,7,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Toa Payoh,2024,7,31,    15.6,     8.2,     9.4,     9.4,-,-,-,-,-
