Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Kranji Reservoir,2024,1,1,     9.8,     4.6,     4.8,     5.0,-,-,-,-,-
Kranji Reservoir,2024,1,2,     4.8,     4.6,     4.8,     4.8,-,-,-,-,-
Kranji Reservoir,2024,1,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,4,    56.2,     8.4,    12.6,    18.2,-,-,-,-,-
Kranji Reservoir,2024,1,5,     4.8,     2.0,     2.0,     3.0,-,-,-,-,-
Kranji Reservoir,2024,1,6,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Kranji Reservoir,2024,1,7,   110.2,    30.0,    52.8,    81.0,-,-,-,-,-
Kranji Reservoir,2024,1,8,     4.6,     4.0,     4.6,     4.6,-,-,-,-,-
Kranji Reservoir,2024,1,9,    49.4,    12.6,    16.0,    27.0,-,-,-,-,-
Kranji Reservoir,2024,1,10,    51.6,    12.0,    16.8,    24.8,-,-,-,-,-
Kranji Reservoir,2024,1,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,12,    10.4,     2.6,     3.6,     4.6,-,-,-,-,-
Kranji Reservoir,2024,1,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,15,     3.2,     3.0,     3.0,     3.0,-,-,-,-,-
Kranji Reservoir,2024,1,16,     2.0,     1.2,     1.8,     1.8,-,-,-,-,-
Kranji Reservoir,2024,1,17,     3.0,     1.4,     1.4,     1.4,-,-,-,-,-
Kranji Reservoir,2024,1,18,     4.8,     4.2,     4.6,     4.6,-,-,-,-,-
Kranji Reservoir,2024,1,19,     1.6,     0.6,     0.6,     1.0,-,-,-,-,-
Kranji Reservoir,2024,1,20,    11.0,     1.4,     2.0,     2.6,-,-,-,-,-
Kranji Reservoir,2024,1,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,23,    35.6,    23.4,    30.2,    33.8,-,-,-,-,-
Kranji Reservoir,2024,1,24,    91.2,    33.4,    52.2,    59.8,-,-,-,-,-
Kranji Reservoir,2024,1,25,     3.8,     1.2,     2.0,     3.6,-,-,-,-,-
Kranji Reservoir,2024,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,28,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Kranji Reservoir,2024,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Kranji Reservoir,2024,1,30,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Kranji Reservoir,2024,1,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
