Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Buona Vista,2024,3,1,     4.6,     2.6,     4.0,     4.6,-,-,-,-,-
Buona Vista,2024,3,2,     3.0,     1.4,     2.0,     2.0,-,-,-,-,-
Buona Vista,2024,3,3,    22.4,     6.4,     8.0,     8.2,-,-,-,-,-
Buona Vista,2024,3,4,    98.6,    50.8,    61.0,    61.4,-,-,-,-,-
Buona Vista,2024,3,5,     5.2,     8.2,    59.0,    62.8,-,-,-,-,-
Buona Vista,2024,3,6,     5.6,     3.0,     5.2,     5.4,-,-,-,-,-
Buona Vista,2024,3,7,    12.0,     5.2,     5.4,     5.8,-,-,-,-,-
Buona Vista,2024,3,8,     6.6,     2.4,     2.8,     3.8,-,-,-,-,-
Buona Vista,2024,3,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,10,    17.2,     8.8,    16.2,    17.0,-,-,-,-,-
Buona Vista,2024,3,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,17,    67.6,    49.0,    58.8,    67.2,-,-,-,-,-
Buona Vista,2024,3,18,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Buona Vista,2024,3,19,    17.4,    12.4,    17.0,    17.4,-,-,-,-,-
Buona Vista,2024,3,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,21,     2.4,     1.2,     2.4,     2.4,-,-,-,-,-
Buona Vista,2024,3,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,28,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Buona Vista,2024,3,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Buona Vista,2024,3,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
