Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Somerset (Road),2024,4,1,    27.0,    25.8,    26.8,    26.8,-,-,-,-,-
Somerset (Road),2024,4,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,3,    28.0,    23.6,    27.2,    28.0,-,-,-,-,-
Somerset (Road),2024,4,4,    11.2,    10.0,    11.0,    11.2,-,-,-,-,-
Somerset (Road),2024,4,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,8,    15.6,    10.8,    14.4,    14.8,-,-,-,-,-
Somerset (Road),2024,4,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,10,     2.8,     2.6,     2.6,     2.6,-,-,-,-,-
Somerset (Road),2024,4,11,     6.4,     2.0,     2.2,     3.2,-,-,-,-,-
Somerset (Road),2024,4,12,    43.8,    13.2,    20.8,    27.8,-,-,-,-,-
Somerset (Road),2024,4,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,14,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Somerset (Road),2024,4,15,     1.2,     1.0,     1.0,     1.0,-,-,-,-,-
Somerset (Road),2024,4,16,     1.6,     0.4,     0.6,     0.8,-,-,-,-,-
Somerset (Road),2024,4,17,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Somerset (Road),2024,4,18,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Somerset (Road),2024,4,19,     4.6,     4.6,     4.6,     4.6,-,-,-,-,-
Somerset (Road),2024,4,20,    30.8,    25.2,    29.0,    30.4,-,-,-,-,-
Somerset (Road),2024,4,21,     2.0,     1.8,     2.0,     2.0,-,-,-,-,-
Somerset (Road),2024,4,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,28,     5.8,     5.6,     5.8,     5.8,-,-,-,-,-
Somerset (Road),2024,4,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Somerset (Road),2024,4,30,     0.0,-,     0.0,     0.0,-,-,-,-,-
