Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2024,1,1,    11.0,     2.6,     2.6,     3.2,    25.7,    28.5,    24.9,     6.6,    25.9
Seletar,2024,1,2,     1.4,     1.4,     1.4,     1.4,    27.4,    32.4,    23.9,    11.0,    33.3
Seletar,2024,1,3,     2.2,     2.2,     2.2,     2.2,    27.3,    31.2,    25.5,     9.9,    37.0
Seletar,2024,1,4,    79.0,    10.0,    15.6,    28.0,    25.1,    26.7,    23.9,     8.9,    29.6
Seletar,2024,1,5,     8.6,     5.2,     6.4,     6.8,    26.4,    30.1,    24.3,    12.0,    42.6
Seletar,2024,1,6,     0.6,     0.4,     0.4,     0.4,    27.6,    31.9,    24.9,     9.0,    33.3
Seletar,2024,1,7,    53.6,     9.0,    12.0,    20.4,    24.5,    27.0,    23.3,     6.1,    24.1
Seletar,2024,1,8,     0.6,     0.6,     0.6,     0.6,    26.3,    31.3,    23.0,    10.2,    33.3
Seletar,2024,1,9,    15.6,     4.2,     5.4,     6.2,    26.6,    30.1,    24.1,    10.1,    31.5
Seletar,2024,1,10,    49.2,    16.6,    20.0,    37.6,    26.4,    29.6,    24.4,     9.0,    44.4
Seletar,2024,1,11,     0.8,     0.6,     0.6,     0.6,    27.4,    30.2,    25.3,    11.3,    35.2
Seletar,2024,1,12,    14.2,     3.8,     5.8,     7.8,    25.2,    26.7,    23.7,     7.9,    33.3
Seletar,2024,1,13,     0.0,     0.0,     0.0,     0.0,    26.9,    31.2,    23.7,     7.6,    27.8
Seletar,2024,1,14,     0.0,     0.0,     0.0,     0.0,    27.6,    31.2,    25.8,    10.6,    37.0
Seletar,2024,1,15,     0.4,     0.4,     0.4,     0.4,    27.8,    31.8,    25.6,    12.8,    35.2
Seletar,2024,1,16,    16.8,     7.8,     8.6,    16.4,    26.8,    30.2,    23.9,    10.2,    50.0
Seletar,2024,1,17,    13.4,     5.4,     5.8,     7.0,    27.3,    31.2,    24.8,    15.2,    50.0
Seletar,2024,1,18,    10.4,     6.6,     6.6,     6.6,    26.9,    30.1,    25.3,    10.7,    42.6
Seletar,2024,1,19,    19.2,     9.4,    17.2,    18.4,    26.5,    30.7,    24.1,     6.9,    35.2
Seletar,2024,1,20,    15.4,     2.8,     3.6,     5.6,    24.7,    26.3,    23.2,     6.9,    33.3
Seletar,2024,1,21,     0.4,     0.4,     0.4,     0.4,    26.9,    32.5,    22.5,     7.6,    33.3
Seletar,2024,1,22,     0.0,     0.0,     0.0,     0.4,    27.8,    32.7,    24.8,     7.3,    29.6
Seletar,2024,1,23,    59.0,    46.8,    56.2,    58.6,    26.6,    32.9,    23.1,     6.9,    55.6
Seletar,2024,1,24,    24.4,    10.6,    13.2,    15.6,    26.4,    30.5,    24.4,     8.4,    35.2
Seletar,2024,1,25,    58.2,    32.8,    43.8,    49.8,    25.6,    30.7,    24.3,     9.8,    29.6
Seletar,2024,1,26,     0.0,     0.0,     0.0,     0.0,    27.9,    31.9,    25.4,    19.2,    42.6
Seletar,2024,1,27,     0.2,     0.2,     0.2,     0.2,    28.2,    32.2,    26.3,    20.8,    46.3
Seletar,2024,1,28,     0.0,     0.0,     0.0,     0.0,    27.8,    32.3,    25.4,    17.1,    42.6
Seletar,2024,1,29,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.5,    17.9,    40.7
Seletar,2024,1,30,     0.0,     0.0,     0.0,     0.0,    27.6,    31.6,    25.1,    15.6,    37.0
Seletar,2024,1,31,     0.0,     0.0,     0.0,     0.0,    27.8,    32.2,    25.1,    14.1,    35.2
