Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2024,11,1,     9.4,     8.8,     9.4,     9.4,    28.1,    33.4,    25.9,     5.9,    40.7
Seletar,2024,11,2,     0.0,     0.0,     0.0,     0.0,    27.6,    30.8,    26.4,     4.9,    37.0
Seletar,2024,11,3,    23.4,    22.0,    23.0,    23.2,    27.4,    33.5,    24.1,     4.9,    50.0
Seletar,2024,11,4,     0.8,     0.6,     0.6,     0.6,    26.9,    30.1,    25.0,     4.1,    33.3
Seletar,2024,11,5,     0.0,     0.0,     0.0,     0.0,    28.3,    33.0,    25.0,     5.5,    24.1
Seletar,2024,11,6,     7.8,     5.0,     7.0,     7.8,    27.4,    31.6,    23.8,     6.6,    37.0
Seletar,2024,11,7,     7.6,     6.2,     7.0,     7.4,    27.3,    31.9,    24.8,     5.6,    31.5
Seletar,2024,11,8,     1.8,     1.6,     1.8,     1.8,    28.1,    32.4,    23.7,     5.6,    38.9
Seletar,2024,11,9,     4.0,     3.0,     3.2,     3.2,    27.3,    32.5,    24.3,     4.2,    38.9
Seletar,2024,11,10,    24.6,    11.0,    13.4,    13.4,    26.7,    32.5,    24.4,     5.2,    31.5
Seletar,2024,11,11,     8.0,     3.8,     3.8,     4.2,    26.6,    31.4,    24.6,     4.4,    33.3
Seletar,2024,11,12,    52.6,    44.8,    52.0,    52.6,    27.0,    33.0,    24.1,     4.9,    53.7
Seletar,2024,11,13,    18.0,    12.4,    17.8,    18.0,    26.9,    31.7,    24.7,     4.8,    27.8
Seletar,2024,11,14,     0.6,     0.4,     0.4,     0.6,    27.2,    32.5,    24.2,     4.6,    40.7
Seletar,2024,11,15,    20.4,     7.8,     7.8,    13.6,    27.2,    32.4,    25.0,     4.3,    33.3
Seletar,2024,11,16,    54.8,    31.2,    41.0,    51.4,    26.4,    33.2,    23.8,     4.3,    29.6
Seletar,2024,11,17,    15.6,     9.4,    12.0,    15.2,    26.1,    31.3,    24.2,     4.7,    31.5
Seletar,2024,11,18,     1.2,     0.6,     0.8,     0.8,    26.7,    30.0,    24.8,     8.8,    33.3
Seletar,2024,11,19,    11.4,     4.6,     7.0,     8.0,    26.1,    29.2,    24.7,     4.9,    22.2
Seletar,2024,11,20,     0.4,     0.2,     0.2,     0.2,    26.3,    28.1,    24.9,     7.3,    25.9
Seletar,2024,11,21,     0.0,     0.0,     0.0,     0.0,    26.8,    32.3,    24.3,     4.6,    27.8
Seletar,2024,11,22,    76.6,    26.2,    33.4,    63.8,    26.4,    33.0,    23.3,     6.8,    42.6
Seletar,2024,11,23,    56.0,    41.0,    47.0,    55.0,    26.5,    31.9,    23.5,     6.1,    42.6
Seletar,2024,11,24,    48.2,    36.8,    45.4,    48.0,    27.1,    31.2,    25.2,     5.2,    42.6
Seletar,2024,11,25,     0.8,     0.6,     0.8,     0.8,    27.2,    30.3,    25.5,     5.3,    29.6
Seletar,2024,11,26,    37.4,    10.6,    19.4,    31.0,    26.1,    31.4,    24.3,     4.8,    25.9
Seletar,2024,11,27,     7.4,     2.4,     4.0,     6.4,    25.9,    29.6,    24.5,     5.0,    25.9
Seletar,2024,11,28,     2.4,     0.4,     0.6,     1.0,    26.4,    30.4,    24.5,     5.0,    25.9
Seletar,2024,11,29,    42.0,    25.8,    32.2,    35.2,    25.4,    26.8,    23.1,     4.6,    38.9
Seletar,2024,11,30,     0.0,     0.0,     0.0,     0.0,    27.8,    33.5,    24.3,     6.3,    20.4
