Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,2024,2,1,     0.0,     0.0,     0.0,     0.0,    28.2,    32.3,    25.9,-,-
Sembawang,2024,2,2,     0.8,     0.8,     0.8,     0.8,    28.1,    32.7,    26.1,-,-
Sembawang,2024,2,3,     0.0,     0.0,     0.0,     0.0,    28.4,    34.0,    25.7,-,-
Sembawang,2024,2,4,     0.0,     0.0,     0.0,     0.0,    28.4,    33.5,    24.0,-,-
Sembawang,2024,2,5,     0.0,     0.0,     0.0,     0.0,    28.6,    33.7,    24.2,-,-
Sembawang,2024,2,6,    16.1,    14.3,    15.7,    15.7,    27.6,    34.1,    23.7,-,-
Sembawang,2024,2,7,     0.0,     0.0,     0.0,     0.0,    28.3,    33.3,    24.8,-,-
Sembawang,2024,2,8,     7.2,     7.0,     7.2,     7.2,    28.1,    33.4,    24.4,-,-
Sembawang,2024,2,9,    10.3,     7.6,     8.2,     8.4,    27.6,    32.6,    25.5,-,-
Sembawang,2024,2,10,     5.0,     4.8,     5.0,     5.0,    27.7,    32.6,    23.5,-,-
Sembawang,2024,2,11,     0.0,     0.0,     0.0,     0.2,    28.1,    32.4,    25.2,-,-
Sembawang,2024,2,12,     4.4,     1.8,     1.8,     2.6,    27.1,    30.1,    24.8,-,-
Sembawang,2024,2,13,     6.0,     2.2,     2.6,     2.6,    26.9,    29.5,    24.7,-,-
Sembawang,2024,2,14,     7.8,     3.6,     3.8,     4.0,    27.4,    31.6,    24.7,-,-
Sembawang,2024,2,15,     4.2,     3.2,     3.8,     3.8,    26.9,    29.5,    25.8,-,-
Sembawang,2024,2,16,     0.0,     0.0,     0.0,     0.0,    27.9,    31.9,    26.2,-,-
Sembawang,2024,2,17,     0.0,     0.0,     0.0,     0.0,    27.6,    31.8,    24.8,-,-
Sembawang,2024,2,18,     0.0,     0.0,     0.0,     0.0,    28.4,    32.3,    25.5,-,-
Sembawang,2024,2,19,     0.0,     0.0,     0.0,     0.0,    28.8,    33.7,    25.9,-,-
Sembawang,2024,2,20,     0.0,     0.0,     0.0,     0.0,    28.7,    33.3,    26.2,-,-
Sembawang,2024,2,21,    10.3,     8.8,     9.0,    10.3,    28.1,    34.0,    25.2,-,-
Sembawang,2024,2,22,     2.2,     2.2,     2.2,     2.2,    28.4,    33.1,    25.8,-,-
Sembawang,2024,2,23,     0.0,     0.0,     0.0,     0.0,    28.4,    32.3,    25.8,-,-
Sembawang,2024,2,24,     0.0,     0.0,     0.0,     0.0,    28.4,    32.0,    25.9,-,-
Sembawang,2024,2,25,     0.0,     0.0,     0.0,     0.0,    28.9,    34.0,    25.6,-,-
Sembawang,2024,2,26,     0.0,     0.0,     0.0,     0.0,    28.8,    32.9,    26.1,-,-
Sembawang,2024,2,27,     0.0,     0.0,     0.0,     0.0,    28.3,    31.1,    26.9,-,-
Sembawang,2024,2,28,     0.0,     0.0,     0.0,     0.0,    28.7,    32.6,    26.4,-,-
Sembawang,2024,2,29,     0.0,     0.0,     0.0,     0.0,    29.2,    33.9,    25.8,-,-
