Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2024,6,1,     9.4,     2.4,     3.4,     5.4,    27.1,    28.5,    25.5,     5.7,    33.3
Seletar,2024,6,2,     4.8,     2.2,     3.2,     4.6,    27.4,    32.3,    25.6,     3.9,    24.1
Seletar,2024,6,3,     0.0,     0.0,     0.0,     0.0,    28.3,    33.5,    25.6,     4.6,    29.6
Seletar,2024,6,4,     0.0,     0.0,     0.0,     0.0,    29.1,    34.0,    26.2,     5.4,    22.2
Seletar,2024,6,5,     0.0,     0.0,     0.0,     0.0,    29.9,    33.9,    26.6,     7.3,    22.2
Seletar,2024,6,6,    13.2,     6.8,    11.2,    12.8,    28.8,    33.9,    25.8,     6.9,    40.7
Seletar,2024,6,7,     0.2,     0.2,     0.2,     0.2,    28.3,    33.2,    26.0,     4.2,    33.3
Seletar,2024,6,8,     0.0,     0.0,     0.0,     0.0,    28.4,    31.8,    26.5,     5.1,    29.6
Seletar,2024,6,9,     0.0,     0.0,     0.0,     0.0,    28.9,    32.3,    25.9,     5.7,    22.2
Seletar,2024,6,10,    18.0,    12.0,    15.0,    16.0,    28.0,    31.8,    25.2,     5.4,    42.6
Seletar,2024,6,11,     0.0,     0.0,     0.0,     0.0,    28.8,    34.6,    25.7,     6.1,    35.2
Seletar,2024,6,12,     5.0,     5.0,     5.0,     5.0,    28.6,    32.7,    25.3,     4.8,    27.8
Seletar,2024,6,13,     0.0,     0.0,     0.0,     0.0,    29.2,    33.7,    25.5,     4.6,    25.9
Seletar,2024,6,14,    22.2,    20.6,    21.8,    22.2,    27.8,    33.6,    24.6,     5.5,    38.9
Seletar,2024,6,15,     0.0,     0.0,     0.0,     0.0,    28.5,    31.9,    25.7,     4.3,    31.5
Seletar,2024,6,16,    10.2,     4.2,     6.6,     9.2,    28.2,    32.8,    23.3,     6.1,    50.0
Seletar,2024,6,17,     0.0,     0.0,     0.0,     0.0,    28.2,    32.8,    25.2,     6.9,    48.2
Seletar,2024,6,18,     3.0,     2.8,     2.8,     2.8,    27.9,    32.4,    25.8,     6.6,    44.4
Seletar,2024,6,19,     0.4,     0.4,     0.4,     0.4,    28.5,    31.0,    26.2,     7.6,    27.8
Seletar,2024,6,20,     0.0,     0.0,     0.0,     0.0,    29.0,    33.3,    25.3,     6.9,    37.0
Seletar,2024,6,21,    35.2,    18.2,    21.6,    25.8,    27.2,    30.6,    23.1,     7.6,    46.3
Seletar,2024,6,22,    28.6,    10.0,    15.0,    21.8,    26.0,    28.5,    22.9,     7.0,    61.1
Seletar,2024,6,23,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    24.8,     6.9,    27.8
Seletar,2024,6,24,     0.0,     0.0,     0.0,     0.0,    28.5,    33.5,    25.5,     7.1,    33.3
Seletar,2024,6,25,     3.2,     1.8,     2.6,     3.2,    29.3,    34.0,    26.6,     6.7,    29.6
Seletar,2024,6,26,     0.0,     0.0,     0.0,     0.0,    29.3,    33.6,    26.5,     8.5,    29.6
Seletar,2024,6,27,     0.0,     0.0,     0.0,     0.0,    28.5,    32.1,    26.0,     7.4,    27.8
Seletar,2024,6,28,     0.0,     0.0,     0.0,     0.0,    28.9,    33.0,    26.8,     6.1,    31.5
Seletar,2024,6,29,     2.8,     2.4,     2.6,     2.8,    28.3,    32.2,    25.8,     5.8,    27.8
Seletar,2024,6,30,    24.0,     6.6,     9.0,    17.0,    26.1,    28.2,    23.7,     5.1,    38.9
