Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sentosa Island,2024,8,1,0,0,0,0,28.7,32.5,25.5,-,-
Sentosa Island,2024,8,2,0,0,0,0,28.9,33,27.5,-,-
Sentosa Island,2024,8,3,0.2,0.2,0.2,0.2,29.3,33.6,27.2,-,-
Sentosa Island,2024,8,4,7.6,3.6,4,4.4,27.4,29.9,25.3,-,-
Sentosa Island,2024,8,5,6.6,6.6,6.6,6.6,28,32.3,24,-,-
Sentosa Island,2024,8,6,0,0,0,0,29.4,33.3,26.9,-,-
Sentosa Island,2024,8,7,0,0,0,0,29,31.9,26.8,-,-
Sentosa Island,2024,8,8,1.4,1.2,1.4,1.4,29.3,32.9,26.3,-,-
Sentosa Island,2024,8,9,11.4,10.2,10.8,11.4,28.4,33,25.5,-,-
Sentosa Island,2024,8,10,34.4,13.2,19.6,26.8,27,29.9,24.9,-,-
Sentosa Island,2024,8,11,2.8,2.2,2.6,2.6,28.2,31.5,24.5,-,-
Sentosa Island,2024,8,12,5.2,5.2,5.2,5.2,28.7,31.6,26.5,-,-
Sentosa Island,2024,8,13,0.2,0.2,0.2,0.2,29.2,31.9,27.5,-,-
Sentosa Island,2024,8,14,44,16.6,16.6,24.2,27.1,30.6,24.5,-,-
Sentosa Island,2024,8,15,0,0,0,0,28.5,32,26,-,-
Sentosa Island,2024,8,16,1.2,1,1.2,1.2,28.8,31.5,26.3,-,-
Sentosa Island,2024,8,17,10,7.8,8.6,9.4,28.2,32,25.8,-,-
Sentosa Island,2024,8,18,0,0,0,0,28.8,32.5,27.3,-,-
Sentosa Island,2024,8,19,0,0,0,0,29.3,32.5,27.4,-,-
Sentosa Island,2024,8,20,2.6,1.6,2,2,27.7,32.8,25.3,-,-
Sentosa Island,2024,8,21,0,0,0,0,28.1,31.6,25.8,-,-
Sentosa Island,2024,8,22,0,0,0,0,29.1,32.6,27.2,-,-
Sentosa Island,2024,8,23,0,0,0,0,28.9,32.6,25.9,-,-
Sentosa Island,2024,8,24,4,1.8,2.4,3,26.8,28.9,25.3,-,-
Sentosa Island,2024,8,25,3.6,3.6,3.6,3.6,27.4,30,24.6,-,-
Sentosa Island,2024,8,26,0,0,0,0,28.8,32.2,26.6,-,-
Sentosa Island,2024,8,27,2.2,1.8,2.2,2.2,28.5,30.6,24.6,-,-
Sentosa Island,2024,8,28,14.2,6.4,11.8,12.8,27.9,31.4,24.2,-,-
Sentosa Island,2024,8,29,0,0,0,0,28.6,30.8,26.3,-,-
Sentosa Island,2024,8,30,0,0,0,0,29.3,33.3,27.5,-,-
Sentosa Island,2024,8,31,0,0,0,0,29.3,33.4,27.4,-,-
