Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2025,1,1,    22.4,    17.0,    22.2,    22.2,    26.8,    31.2,    24.3,     8.4,    31.5
Seletar,2025,1,2,     0.0,     0.0,     0.0,     0.0,    27.7,    31.8,    25.1,    12.1,    29.6
Seletar,2025,1,3,     2.2,     1.6,     1.6,     2.0,    28.1,    32.7,    25.1,    13.5,    33.3
Seletar,2025,1,4,     1.2,     1.2,     1.2,     1.2,    27.7,    31.6,    25.3,    13.0,    42.6
Seletar,2025,1,5,     0.0,     0.0,     0.0,     0.0,    27.9,    32.7,    25.5,    16.1,    40.7
Seletar,2025,1,6,     0.0,     0.0,     0.0,     0.0,    28.1,    32.0,    26.0,    18.4,    37.0
Seletar,2025,1,7,     0.8,     0.8,     0.8,     0.8,    28.0,    32.7,    25.1,    11.0,    33.3
Seletar,2025,1,8,     0.0,     0.0,     0.0,     0.0,    28.4,    32.8,    25.8,    14.2,    37.0
Seletar,2025,1,9,     0.0,     0.0,     0.0,     0.0,    28.2,    32.6,    25.4,    15.3,    44.4
Seletar,2025,1,10,   140.0,    14.2,    24.2,    39.0,    24.4,    26.5,    22.8,     7.7,    37.0
Seletar,2025,1,11,    99.4,    12.4,    18.0,    28.6,    23.9,    25.2,    22.5,     9.2,    31.5
Seletar,2025,1,12,    28.6,     8.8,    11.2,    14.0,    25.5,    27.5,    24.3,    16.4,    64.8
Seletar,2025,1,13,-,-,-,-,    24.7,    26.6,    23.2,    11.0,    33.3
Seletar,2025,1,14,    16.4,     4.4,     6.2,     9.2,    25.4,    28.1,    24.1,     8.3,    33.3
Seletar,2025,1,15,     9.4,     7.6,     8.4,     9.4,    25.6,    29.0,    24.2,     4.9,-
Seletar,2025,1,16,     3.0,     2.6,     2.6,     2.6,    27.0,    31.1,    24.4,    15.0,    53.7
Seletar,2025,1,17,     3.6,     1.6,     1.8,     1.8,    26.3,    29.6,    25.0,    18.3,    51.9
Seletar,2025,1,18,     3.4,     1.6,     2.0,     3.0,    26.4,    29.5,    24.7,    15.6,    44.4
Seletar,2025,1,19,    16.6,     5.0,     5.0,     6.0,    25.7,    28.9,    24.4,     9.9,    51.9
Seletar,2025,1,20,     0.0,     0.0,     0.0,     0.0,    26.6,    29.8,    24.4,    13.5,    37.0
Seletar,2025,1,21,     0.6,     0.2,     0.2,     0.4,    25.6,    26.9,    24.5,    13.2,    38.9
Seletar,2025,1,22,     0.2,     0.2,     0.2,     0.2,    26.1,    28.1,    24.5,    11.8,    40.7
Seletar,2025,1,23,     0.6,     0.4,     0.4,     0.6,    26.0,    27.8,    24.5,     9.0,    27.8
Seletar,2025,1,24,     2.2,     0.6,     1.0,     1.8,    25.8,    27.6,    25.0,     6.4,    25.9
Seletar,2025,1,25,    17.6,    10.8,    17.2,    17.6,    26.7,    30.0,    24.6,     6.1,    24.1
Seletar,2025,1,26,     0.0,     0.0,     0.0,     0.0,    27.1,    31.0,    24.1,     8.8,    29.6
Seletar,2025,1,27,     3.2,     0.8,     1.0,     1.4,    25.5,    29.5,    23.7,    11.6,    37.0
Seletar,2025,1,28,     0.0,     0.0,     0.0,     0.0,    26.2,    29.1,    24.5,    18.6,    44.4
Seletar,2025,1,29,     0.0,     0.0,     0.0,     0.0,    26.1,    29.7,    24.4,    17.7,    46.3
Seletar,2025,1,30,     0.0,     0.0,     0.0,     0.0,    26.8,    30.6,    24.4,    15.8,    42.6
Seletar,2025,1,31,     0.0,     0.0,     0.0,     0.0,    26.6,    31.3,    23.5,    15.4,    40.7
