Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,2024,4,1,     1.4,     1.0,     1.4,     1.4,    28.6,    32.5,    25.0,-,-
Sembawang,2024,4,2,     0.0,     0.0,     0.0,     0.0,    30.6,    35.2,    25.7,-,-
Sembawang,2024,4,3,     0.0,     0.0,     0.0,     0.0,    29.5,    34.4,    26.8,-,-
Sembawang,2024,4,4,    19.1,    16.1,    17.9,    19.1,    28.2,    35.6,    25.2,-,-
Sembawang,2024,4,5,     0.0,     0.0,     0.0,     0.0,    29.3,    35.5,    24.8,-,-
Sembawang,2024,4,6,     0.0,     0.0,     0.0,     0.0,    29.6,    34.8,    24.5,-,-
Sembawang,2024,4,7,    15.9,     9.2,    11.9,    15.7,    29.4,    34.4,    26.9,-,-
Sembawang,2024,4,8,    35.0,    29.3,    34.8,    35.0,    28.6,    34.5,    24.3,-,-
Sembawang,2024,4,9,     0.0,     0.0,     0.0,     0.0,    30.0,    35.3,    25.4,-,-
Sembawang,2024,4,10,     3.0,     2.8,     2.8,     2.8,    28.4,    32.7,    26.0,-,-
Sembawang,2024,4,11,     6.4,     1.8,     2.0,     3.2,    28.2,    32.7,    25.7,-,-
Sembawang,2024,4,12,    23.3,     3.2,     6.0,    11.1,    26.0,    28.5,    24.7,-,-
Sembawang,2024,4,13,     0.0,     0.0,     0.0,     0.0,    29.0,    34.2,    24.1,-,-
Sembawang,2024,4,14,     0.2,     0.2,     0.2,     0.2,    28.5,    31.8,    26.4,-,-
Sembawang,2024,4,15,     0.0,     0.0,     0.0,     0.0,    28.8,    32.7,    25.6,-,-
Sembawang,2024,4,16,     2.4,     1.4,     1.4,     1.6,    27.6,    29.4,    26.3,-,-
Sembawang,2024,4,17,     2.0,     1.8,     2.0,     2.0,    27.9,    32.3,    24.7,-,-
Sembawang,2024,4,18,     0.0,     0.0,     0.0,     0.0,    28.7,    33.0,    25.1,-,-
Sembawang,2024,4,19,     7.2,     5.4,     7.0,     7.2,    28.3,    32.8,    25.5,-,-
Sembawang,2024,4,20,    32.0,    27.1,    31.4,    32.0,    27.5,    32.1,    24.7,-,-
Sembawang,2024,4,21,    30.4,    23.3,    28.7,    30.4,    28.0,    34.3,    25.0,-,-
Sembawang,2024,4,22,     4.6,     4.4,     4.6,     4.6,    28.5,    33.2,    25.3,-,-
Sembawang,2024,4,23,     0.0,     0.0,     0.0,     0.0,    29.5,    34.9,    25.8,-,-
Sembawang,2024,4,24,     0.2,     0.2,     0.2,     0.2,    29.8,    33.8,    26.2,-,-
Sembawang,2024,4,25,     0.0,     0.0,     0.0,     0.0,    29.9,    34.9,    26.4,-,-
Sembawang,2024,4,26,     0.2,     0.2,     0.2,     0.2,    29.1,    35.5,    25.7,-,-
Sembawang,2024,4,27,     0.0,     0.0,     0.0,     0.0,    29.4,    34.4,    25.8,-,-
Sembawang,2024,4,28,     2.0,     1.6,     1.6,     1.6,    28.9,    33.6,    25.8,-,-
Sembawang,2024,4,29,     0.0,     0.0,     0.0,     0.0,    30.0,    34.7,    25.6,-,-
Sembawang,2024,4,30,     1.8,-,     1.8,     1.8,    29.7,    34.4,    26.2,-,-
