Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Sembawang,2025,1,1,    22.7,    18.1,    21.9,    22.7,    26.4,    31.3,    22.9,-,-
Sembawang,2025,1,2,     0.6,     0.4,     0.4,     0.6,    27.4,    31.7,    23.8,-,-
Sembawang,2025,1,3,     2.4,     2.0,     2.0,     2.0,    27.8,    32.8,    24.1,-,-
Sembawang,2025,1,4,     0.0,     0.0,     0.0,     0.0,    27.8,    31.5,    24.8,-,-
Sembawang,2025,1,5,     0.0,     0.0,     0.0,     0.0,    28.0,    32.6,    24.7,-,-
Sembawang,2025,1,6,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    25.8,-,-
Sembawang,2025,1,7,     2.4,     1.8,     2.0,     2.4,    27.9,    33.0,    24.7,-,-
Sembawang,2025,1,8,     0.0,     0.0,     0.0,     0.0,    28.2,    33.2,    25.2,-,-
Sembawang,2025,1,9,     0.0,     0.0,     0.0,     0.0,    28.2,    32.6,    25.6,-,-
Sembawang,2025,1,10,   110.6,    13.5,    24.5,    36.0,    24.3,    26.9,    22.7,-,-
Sembawang,2025,1,11,    93.7,    13.3,    19.5,    27.9,    23.8,    25.2,    22.5,-,-
Sembawang,2025,1,12,    32.2,    10.0,    13.7,    14.3,    25.5,    27.5,    24.3,-,-
Sembawang,2025,1,13,    62.7,    10.1,    14.1,    20.3,    24.5,    26.4,    23.8,-,-
Sembawang,2025,1,14,    12.7,     4.6,     4.6,     6.4,    25.4,    28.8,    23.9,-,-
Sembawang,2025,1,15,     2.6,     2.2,     2.4,     2.6,    25.7,    29.2,    24.1,-,-
Sembawang,2025,1,16,     0.6,     0.4,     0.4,     0.4,    26.8,    31.8,    23.9,-,-
Sembawang,2025,1,17,     0.8,     0.8,     0.8,     0.8,    26.3,    30.1,    25.0,-,-
Sembawang,2025,1,18,     1.8,     0.6,     0.6,     0.6,    26.2,    29.7,    24.4,-,-
Sembawang,2025,1,19,     8.0,     2.0,     2.4,     3.8,    25.6,    28.3,    24.2,-,-
Sembawang,2025,1,20,     0.0,     0.0,     0.0,     0.0,    26.6,    30.2,    24.6,-,-
Sembawang,2025,1,21,     0.2,     0.2,     0.2,     0.2,    25.6,    27.0,    24.6,-,-
Sembawang,2025,1,22,     0.2,     0.2,     0.2,     0.2,    26.1,    28.3,    24.4,-,-
Sembawang,2025,1,23,     0.6,     0.4,     0.4,     0.4,    25.9,    28.0,    24.2,-,-
Sembawang,2025,1,24,     1.2,     0.6,     0.8,     1.2,    25.6,    27.9,    24.5,-,-
Sembawang,2025,1,25,     0.4,     0.4,     0.4,     0.4,    26.7,    31.1,    23.6,-,-
Sembawang,2025,1,26,     1.4,     1.4,     1.4,     1.4,    26.8,    30.7,    23.7,-,-
Sembawang,2025,1,27,     2.6,     1.0,     1.2,     1.6,    25.6,    29.6,    23.7,-,-
Sembawang,2025,1,28,     0.4,     0.4,     0.4,     0.4,    26.1,    29.6,    24.7,-,-
Sembawang,2025,1,29,     0.0,     0.0,     0.0,     0.0,    26.0,    28.6,    24.6,-,-
Sembawang,2025,1,30,     0.0,     0.0,     0.0,     0.0,    26.6,    30.7,    23.6,-,-
Sembawang,2025,1,31,     0.0,     0.0,     0.0,     0.0,    26.5,    31.0,    22.7,-,-
